,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,field_name
118,http://orkg.org/orkg/resource/R36099,6,6,22,12,59,0,0,Computer Sciences
119,http://orkg.org/orkg/resource/R38484,18,18,354,84,525,0,0,Environmental Sciences
120,http://orkg.org/orkg/resource/R44930,21,31,139,17,197,2,2,Virology
121,http://orkg.org/orkg/resource/R68121,1,26,77,7,199,0,0,Earth Sciences
122,http://orkg.org/orkg/resource/R68535,2,32,95,7,246,1,2,Earth Sciences
123,http://orkg.org/orkg/resource/R69680,53,53,99,13,220,0,0,Artificial Intelligence
124,http://orkg.org/orkg/resource/R70212,1,7,23,20,75,0,0,Computer and Systems Architecture
125,http://orkg.org/orkg/resource/R73210,4,4,26,18,26,0,0,Information Science
126,http://orkg.org/orkg/resource/R74529,3,3,6,7,18,0,0,Software Engineering
127,http://orkg.org/orkg/resource/R74541,4,4,15,10,7,0,0,Artificial Intelligence
128,http://orkg.org/orkg/resource/R74774,1,7,82,38,185,0,0,Artificial Intelligence
129,http://orkg.org/orkg/resource/R75093,2,2,5,5,7,0,0,Computational Engineering
130,http://orkg.org/orkg/resource/R75140,3,3,22,6,1,0,0,Thermodynamics
131,http://orkg.org/orkg/resource/R75439,4,4,7,2,0,0,0,Software Engineering
132,http://orkg.org/orkg/resource/R75673,6,6,38,8,3,0,0,Neuroscience and Neurobiology
133,http://orkg.org/orkg/resource/R75729,6,6,37,8,2,0,0,Neuroscience and Neurobiology
134,http://orkg.org/orkg/resource/R76052,1,4,18,8,12,0,0,Artificial Intelligence
135,http://orkg.org/orkg/resource/R76054,1,4,18,7,12,0,0,Artificial Intelligence
136,http://orkg.org/orkg/resource/R76129,1,9,35,5,9,0,0,Artificial Intelligence
137,http://orkg.org/orkg/resource/R76284,1,12,36,7,11,0,0,Artificial Intelligence
138,http://orkg.org/orkg/resource/R76297,5,5,11,5,19,0,0,Environmental Health
139,http://orkg.org/orkg/resource/R76324,1,12,37,6,12,0,0,Artificial Intelligence
140,http://orkg.org/orkg/resource/R76783,12,12,27,5,44,0,0,"Theory, Knowledge and Science"
141,http://orkg.org/orkg/resource/R76785,12,12,27,5,44,0,0,"Theory, Knowledge and Science"
142,http://orkg.org/orkg/resource/R76906,8,8,85,9,6,0,0,Social and Behavioral Sciences
143,http://orkg.org/orkg/resource/R78163,14,14,18,8,84,0,0,Life Sciences
144,http://orkg.org/orkg/resource/R78454,3,3,7,7,19,0,0,Growth and Development
145,http://orkg.org/orkg/resource/R8342,8,12,81,29,98,0,0,
146,http://orkg.org/orkg/resource/R8364,5,5,61,39,84,0,0,
