,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
176,,,,,,,,,,79.0,143.0,19.0,15.0,12.0,79.0,9.0
177,,,,,,,,,,87.0,163.0,16.0,11.0,8.0,87.0,7.0
178,,,,,,,,,,83.0,154.0,17.0,12.0,9.0,83.0,8.0
179,,,,,,,,,,19.0,19.0,5.0,19.0,5.0,19.0,4.0
180,,,,,,,,,,421.0,731.0,55.0,111.0,39.0,421.0,36.0
181,,,,,,,,,,157.0,245.0,26.0,69.0,20.0,157.0,24.0
182,,,,,,,,,,111.0,174.0,24.0,48.0,24.0,111.0,12.0
183,,,,,,,,,,275.0,404.0,37.0,146.0,36.0,275.0,13.0
184,,,,,,,,,,183.0,293.0,49.0,73.0,47.0,183.0,9.0
185,,,,,,,,,,142.0,227.0,24.0,57.0,23.0,142.0,5.0
186,,,,,,,,,,154.0,251.0,40.0,57.0,27.0,154.0,28.0
187,,,,,,,,,,202.0,308.0,34.0,96.0,34.0,202.0,18.0
188,,,,,,,,,,614.0,981.0,87.0,247.0,80.0,614.0,29.0
189,,,,,,,,,,709.0,1164.0,85.0,254.0,76.0,709.0,25.0
190,,,,,,,,,,592.0,954.0,77.0,230.0,69.0,592.0,25.0
191,,,,,,,,,,1056.0,1716.0,310.0,396.0,265.0,1056.0,14.0
192,,,,,,,,,,1056.0,1716.0,310.0,396.0,265.0,1056.0,14.0
193,,,,,,,,,,2112.0,3432.0,618.0,792.0,529.0,2112.0,14.0
194,,,,,,,,,,149.0,234.0,41.0,64.0,30.0,149.0,26.0
195,,,,,,,,,,858.0,1365.0,196.0,351.0,131.0,858.0,14.0
196,,,,,,,,,,80.0,108.0,17.0,52.0,16.0,80.0,8.0
197,,,,,,,,,,723.0,1146.0,170.0,300.0,110.0,723.0,11.0
198,,,,,,,,,,247.0,456.0,41.0,38.0,24.0,247.0,18.0
199,,,,,,,,,,181.0,253.0,23.0,109.0,12.0,181.0,21.0
200,,,,,,,,,,434.0,720.0,72.0,148.0,49.0,434.0,44.0
201,,,,,,,,,,434.0,720.0,72.0,148.0,49.0,434.0,44.0
202,,,,,,,,,,85.0,155.0,20.0,15.0,11.0,85.0,13.0
203,,,,,,,,,,82.0,119.0,13.0,45.0,13.0,82.0,9.0
204,,,,,,,,,,125.0,125.0,25.0,125.0,25.0,125.0,5.0
205,,,,,,,,,,283.0,430.0,53.0,136.0,52.0,283.0,22.0
206,,,,,,,,,,409.0,690.0,141.0,128.0,53.0,409.0,38.0
207,,,,,,,,,,65.0,82.0,9.0,48.0,9.0,65.0,9.0
208,,,,,,,,,,101.0,136.0,16.0,66.0,15.0,101.0,11.0
209,,,,,,,,,,212.0,302.0,24.0,122.0,23.0,212.0,17.0
210,,,,,,,,,,128.0,189.0,20.0,67.0,20.0,128.0,8.0
211,,,,,,,,,,122.0,168.0,24.0,76.0,24.0,122.0,12.0
212,,,,,,,,,,104.0,135.0,15.0,73.0,15.0,104.0,18.0
213,,,,,,,,,,1042.0,1588.0,171.0,496.0,124.0,1042.0,48.0
214,,,,,,,,,,60.0,106.0,14.0,14.0,7.0,60.0,10.0
215,,,,,,,,,,64.0,114.0,15.0,14.0,9.0,64.0,10.0
216,,,,,,,,,,64.0,114.0,15.0,14.0,9.0,64.0,10.0
217,,,,,,,,,,1116.0,1736.0,245.0,496.0,199.0,1116.0,12.0
218,,,,,,,,,,152.0,287.0,28.0,17.0,7.0,152.0,14.0
219,,,,,,,,,,406.0,715.0,38.0,97.0,38.0,406.0,18.0
220,,,,,,,,,,97.0,176.0,12.0,18.0,6.0,97.0,12.0
